epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,61.9704,5.31647,0.00716,0.0417,5.27341,1.63195e-05,1.63195e-05,1.63195e-05
2,117.497,5.24946,0.01306,0.07287,5.17707,3.15752e-05,3.15752e-05,3.15752e-05
3,173.284,5.15598,0.02949,0.12426,5.02053,4.5753e-05,4.5753e-05,4.5753e-05
4,227.751,5.00654,0.04634,0.16133,4.83415,4.4149e-05,4.4149e-05,4.4149e-05
5,282.909,4.8558,0.05939,0.1984,4.65191,4.2532e-05,4.2532e-05,4.2532e-05
6,338.33,4.71086,0.08762,0.24853,4.46783,4.0915e-05,4.0915e-05,4.0915e-05
7,395.441,4.56699,0.09983,0.30034,4.32849,3.9298e-05,3.9298e-05,3.9298e-05
8,452.555,4.42858,0.12595,0.35046,4.1232,3.7681e-05,3.7681e-05,3.7681e-05
9,508.41,4.29428,0.14827,0.39048,3.97454,3.6064e-05,3.6064e-05,3.6064e-05
10,564.419,4.18108,0.16512,0.43934,3.84442,3.4447e-05,3.4447e-05,3.4447e-05
11,620.588,4.06865,0.19124,0.46377,3.69399,3.283e-05,3.283e-05,3.283e-05
12,676.901,3.97045,0.20556,0.50295,3.58898,3.1213e-05,3.1213e-05,3.1213e-05
13,735.194,3.87929,0.22241,0.53033,3.50088,2.9596e-05,2.9596e-05,2.9596e-05
14,791.896,3.80481,0.2342,0.5396,3.42182,2.7979e-05,2.7979e-05,2.7979e-05
15,851.883,3.71696,0.25779,0.55855,3.34164,2.6362e-05,2.6362e-05,2.6362e-05
16,908.33,3.66824,0.27338,0.58172,3.25621,2.4745e-05,2.4745e-05,2.4745e-05
17,979.543,3.6064,0.27296,0.58804,3.20213,2.3128e-05,2.3128e-05,2.3128e-05
18,1042.04,3.55227,0.29191,0.60404,3.11028,2.1511e-05,2.1511e-05,2.1511e-05
19,1105.98,3.49147,0.29275,0.60868,3.10532,1.9894e-05,1.9894e-05,1.9894e-05
20,1164.79,3.45441,0.30539,0.61921,3.04281,1.8277e-05,1.8277e-05,1.8277e-05
21,1263.15,3.43232,0.31171,0.62763,3.0141,1.666e-05,1.666e-05,1.666e-05
22,1334.47,3.36578,0.3273,0.63058,2.95782,1.5043e-05,1.5043e-05,1.5043e-05
23,1398.42,3.36812,0.33446,0.6428,2.93298,1.3426e-05,1.3426e-05,1.3426e-05
24,1462.86,3.3279,0.32814,0.64195,2.92207,1.1809e-05,1.1809e-05,1.1809e-05
25,1531.52,3.30095,0.33698,0.64238,2.89247,1.0192e-05,1.0192e-05,1.0192e-05
26,1591.13,3.29402,0.33951,0.64827,2.87617,8.575e-06,8.575e-06,8.575e-06
27,1649.64,3.25866,0.34499,0.65333,2.84365,6.958e-06,6.958e-06,6.958e-06
28,1708.95,3.264,0.34288,0.65249,2.86126,5.341e-06,5.341e-06,5.341e-06
29,1768.48,3.25354,0.34751,0.65796,2.83153,3.724e-06,3.724e-06,3.724e-06
30,1826.94,3.24415,0.34372,0.65796,2.829,2.107e-06,2.107e-06,2.107e-06
